volume,opening,company,num_deals,value,high,low,change_per,date,close,change
"518,897",43.20,1210,648,"21,894,562.40",43.40,41.00,-4.51,2014/06/22,41.24,-1.95
"2,241,676",40.70,8180,"2,625","95,188,737.60",44.00,40.50,7.97,2014/06/22,43.61,3.22
"1,144,159",134.00,8280,"3,210","159,065,416.25",145.75,129.50,9.86,2014/06/22,145.75,13.08
"182,627",43.10,2340,204,"7,866,749.00",43.50,42.60,0.30,2014/06/22,43.07,0.13
"38,600",30.30,2080,54,"1,163,429.20",30.30,30.00,0.07,2014/06/22,30.02,0.02
"1,077,971",16.55,6020,431,"17,751,850.40",16.70,16.15,-1.51,2014/06/22,16.28,-0.25
"501,294",24.50,2170,349,"12,290,058.75",24.80,24.15,-0.33,2014/06/22,24.27,-0.08
"479,506",34.30,8030,343,"16,398,429.10",34.50,34.00,0.41,2014/06/22,34.24,0.14
"914,747",12.70,2110,410,"11,640,882.90",12.85,12.65,0.08,2014/06/22,12.71,0.01
"572,981",61.50,4170,"1,013","34,172,058.25",62.00,57.50,-5.00,2014/06/22,58.38,-3.07
"647,685",71.50,2280,666,"46,285,841.50",72.25,70.50,-0.03,2014/06/22,71.65,-0.02
"199,643",24.90,4280,125,"4,993,362.30",25.20,24.60,0.00,2014/06/22,25.00,0.00
"271,509",73.75,2030,392,"19,908,604.75",74.25,72.25,-1.03,2014/06/22,72.78,-0.76
"4,573,680",61.75,2100,"5,921","263,669,753.50",62.25,55.50,-9.96,2014/06/22,55.50,-6.14
"123,797",107.50,4002,315,"13,060,556.75",107.50,103.00,-4.15,2014/06/22,103.08,-4.46
"1,481,598",17.90,2160,419,"26,272,775.00",18.00,17.30,-1.84,2014/06/22,17.59,-0.33
0,0.00,6080,0,0.00,0.00,0.00,0.00,2014/06/22,69.75,0.00
"596,641",54.75,8270,"1,014","33,574,243.50",57.50,54.50,2.90,2014/06/22,56.09,1.58
"602,637",39.50,6040,640,"23,766,604.00",39.90,38.60,-1.95,2014/06/22,38.75,-0.77
"299,353",57.25,2180,491,"16,990,015.75",57.50,55.75,-1.87,2014/06/22,56.03,-1.07
"726,919",53.00,1201,939,"38,794,060.75",55.00,51.75,-0.68,2014/06/22,52.40,-0.36
"1,932,307",103.00,4070,"4,860","197,543,633.00",106.00,100.25,-1.61,2014/06/22,100.75,-1.65
"1,693,663",21.50,6090,984,"36,068,352.00",21.75,20.75,-3.42,2014/06/22,20.89,-0.74
"1,466,839",47.00,4250,"1,006","68,865,318.90",47.40,46.20,-1.34,2014/06/22,46.54,-0.63
"23,314",204.00,4190,84,"4,756,793.25",204.25,203.75,0.21,2014/06/22,203.99,0.42
"162,047",102.00,4004,367,"16,316,762.75",102.75,99.75,-1.49,2014/06/22,100.40,-1.52
"16,318,112",12.95,4300,"2,761","209,065,893.05",13.05,12.60,-1.85,2014/06/22,12.70,-0.24
"429,114",16.00,8090,467,"6,738,450.90",16.10,15.45,-2.49,2014/06/22,15.64,-0.40
"1,519,019",32.60,2380,846,"49,431,344.30",32.90,32.00,-0.92,2014/06/22,32.18,-0.30
"466,663",43.90,4090,551,"20,408,357.20",44.20,42.50,-1.34,2014/06/22,43.39,-0.59
"272,204",35.70,8050,535,"9,403,767.60",35.70,33.50,-4.68,2014/06/22,33.79,-1.66
"555,997",20.50,8290,481,"11,337,546.40",20.60,20.20,-0.98,2014/06/22,20.25,-0.20
"1,552,980",29.50,4080,857,"44,929,681.80",29.70,28.10,-3.64,2014/06/22,28.35,-1.07
"371,487",39.80,8311,564,"14,601,300.30",39.80,38.70,-1.62,2014/06/22,38.87,-0.64
"31,081",197.00,4240,126,"6,114,683.50",197.75,196.00,-0.27,2014/06/22,196.29,-0.54
"9,334,161",15.55,2350,"1,583","144,464,690.10",15.65,15.30,-1.35,2014/06/22,15.34,-0.21
"1,703,706",16.20,2001,688,"27,475,232.30",16.25,16.00,-0.68,2014/06/22,16.02,-0.11
"440,319",23.50,1213,340,"10,347,184.95",23.75,23.10,-0.60,2014/06/22,23.26,-0.14
"735,352",73.25,8011,"1,191","53,418,155.00",73.75,70.50,-1.33,2014/06/22,71.49,-0.96
0,0.00,1310,0,0.00,0.00,0.00,0.00,2014/06/22,12.55,0.00
"1,141,917",39.00,4061,"1,267","43,446,262.70",39.20,37.00,-3.82,2014/06/22,37.50,-1.49
"546,121",21.80,4310,275,"11,855,989.75",21.95,21.50,-1.10,2014/06/22,21.56,-0.24
"147,878",84.50,4100,261,"12,592,491.00",85.50,84.50,0.86,2014/06/22,84.75,0.72
"1,277,033",21.20,8020,839,"27,837,765.05",22.20,21.20,1.88,2014/06/22,21.66,0.40
"114,487",145.50,6002,292,"16,540,057.50",146.00,142.00,-2.06,2014/06/22,142.94,-3.01
"3,432,564",15.95,2210,974,"54,467,434.85",16.00,15.65,-1.57,2014/06/22,15.69,-0.25
0,0.00,8220,0,0.00,0.00,0.00,0.00,2014/06/22,19.39,0.00
"1,330,282",72.25,2290,617,"96,457,445.75",73.50,71.75,1.29,2014/06/22,73.01,0.93
"420,840",129.00,1810,407,"54,023,194.00",129.50,127.50,-0.46,2014/06/22,128.38,-0.59
"1,009,050",40.40,1090,246,"40,850,216.20",40.70,40.30,0.40,2014/06/22,40.44,0.16
"755,809",54.25,1212,992,"40,291,107.75",54.50,51.00,-3.28,2014/06/22,53.00,-1.80
"111,367",69.00,2050,133,"7,662,976.25",69.50,68.00,-0.58,2014/06/22,69.00,-0.40
"21,394,833",18.85,1150,"3,386","401,205,945.55",18.90,18.50,-1.22,2014/06/22,18.60,-0.23
"685,417",22.95,4180,446,"15,652,268.60",23.15,22.15,-1.31,2014/06/22,22.66,-0.30
"3,523,578",67.00,1120,"1,269","238,330,519.50",68.00,67.00,1.10,2014/06/22,67.75,0.74
