Date,Open,High,Low,Close,Volume,Adj Close,Num_deals,Value,Change,Change_per
2014-06-19,34.2,34.2,33.8,34.17,"51,906",34.17,64,"1,764,077.50",0,0
2014-06-18,33.7,34.2,33.7,34.17,"46,201",34.17,79,"1,568,611.50",0.5,1.49
2014-06-17,33.8,33.8,33.7,33.67,"17,500",33.67,47,"589,387.50",0,0
2014-06-16,33.7,33.8,33.7,33.67,"33,073",33.67,48,"1,114,550.00",-0.33,-0.97
2014-06-15,34.2,34.2,34,34,"37,393",34,58,"1,273,894.75",-0.17,-0.5
2014-06-12,34.3,34.3,33.8,34.17,"76,996",34.17,128,"2,618,449.00",0,0
2014-06-11,34.2,34.5,34.2,34.17,"33,097",34.17,85,"1,135,735.25",0.17,0.5
2014-06-10,34,34.7,34,34,"43,020",34,115,"1,477,794.25",0,0
2014-06-09,34.3,34.5,33.7,34,"53,965",34,105,"1,842,208.00",-0.5,-1.45
2014-06-08,34.3,34.5,34.3,34.5,"29,947",34.5,49,"1,030,530.50",0,0
2014-06-05,34.5,34.8,34.5,34.5,"34,576",34.5,82,"1,196,184.00",-0.33,-0.95
2014-06-04,34.3,34.8,34.2,34.83,"125,446",34.83,134,"4,329,531.00",0.5,1.46
2014-06-03,34.7,34.8,34.2,34.33,"102,484",34.33,120,"3,530,881.50",0,0
2014-06-02,34.7,35,34.3,34.33,"102,844",34.33,135,"3,561,256.25",-0.17,-0.49
2014-06-01,34.7,34.7,34.3,34.5,"43,043",34.5,52,"1,485,438.50",-0.17,-0.49
2014-05-29,34.5,34.7,34.5,34.67,"32,579",34.67,48,"1,127,702.00",0,0
2014-05-28,34.5,34.8,34.5,34.67,"37,276",34.67,71,"1,290,663.00",0,0
2014-05-27,34.7,34.8,34.5,34.67,"21,649",34.67,64,"750,356.75",0.17,0.49
2014-05-26,34.5,34.7,34.3,34.5,"40,806",34.5,62,"1,407,893.50",0,0
2014-05-25,33.7,34.5,33.7,34.33,"63,173",34.33,106,"2,152,958.25",0.5,1.48
2014-05-22,34,34,33.7,33.83,"50,183",33.83,106,"1,699,816.00",-0.34,-1
2014-05-21,34,34.2,33.8,34.17,"30,970",34.17,84,"1,052,468.50",0.17,0.5
2014-05-20,34.7,34.7,34,34,"62,843",34,140,"2,154,045.25",-0.5,-1.45
2014-05-19,34.3,34.7,34.3,34.5,"172,867",34.5,171,"5,968,473.25",0,0
2014-05-18,34.3,34.7,34,34.5,"257,604",34.5,340,"8,848,950.75",0,0
2014-05-15,33.5,34.7,33.5,34.5,"555,360",34.5,626,"18,960,606.50",1,2.99
2014-05-14,33.3,33.5,33.3,33.5,"61,801",33.5,95,"2,063,219.90",0.17,0.51
2014-05-13,33.5,33.5,33.3,33.33,"58,384",33.33,114,"1,948,724.10",0.08,0.24
2014-05-12,33.8,33.8,33.2,33.25,"349,615",33.25,345,"11,694,452.90",0.08,0.24
2014-05-11,33.2,33.7,33,33.17,"127,817",33.17,175,"4,254,524.50",0.09,0.27
2014-05-08,33,33.1,32.8,33.08,"53,586",33.08,86,"1,768,003.90",0.16,0.49
2014-05-07,33.2,33.2,32.8,32.92,"87,389",32.92,130,"2,876,821.60",-0.25,-0.75
2014-05-06,33.2,33.2,33.1,33.17,"45,805",33.17,92,"1,517,897.70",0,0
2014-05-05,33.3,34,33.2,33.17,"474,007",33.17,666,"15,874,020.05",0.34,1.04
2014-05-04,32.6,32.8,32.5,32.83,"62,411",32.83,119,"2,041,618.10",0.16,0.49
2014-05-01,32.8,32.8,32.5,32.67,"62,394",32.67,100,"2,036,605.10",0.17,0.52
2014-04-30,32.3,33.1,32.2,32.5,"195,730",32.5,292,"6,385,309.50",0.33,1.03
2014-04-29,32.2,32.3,32.1,32.17,"69,871",32.17,106,"2,249,212.20",0.17,0.53
2014-04-28,31.8,32,31.8,32,"54,307",32,75,"1,734,308.90",0.17,0.53
2014-04-27,31.8,31.9,31.8,31.83,"22,062",31.83,60,"702,234.30",0,0
2014-04-24,31.9,32,31.8,31.83,"30,337",31.83,70,"968,354.00",-0.09,-0.28
2014-04-23,31.9,32.1,31.8,31.92,"63,515",31.92,53,"2,029,630.20",0,0
2014-04-22,31.9,32.2,31.8,31.92,"103,246",31.92,108,"3,301,620.70",0.09,0.28
2014-04-21,31.8,32,31.8,31.83,"49,757",31.83,82,"1,586,785.70",-0.17,-0.53
2014-04-20,31.9,32,31.8,32,"64,177",32,89,"2,043,774.70",0.08,0.25
2014-04-17,32,32.3,31.9,31.92,"94,278",31.92,133,"3,020,976.90",0,0
