Date,Open,High,Low,Close,Volume,Adj Close,Num_deals,Value,Change,Change_per
2014-06-19,92.25,92.25,91,91.25,"138,090",91.25,208,"12,626,646.75",-0.5,-0.54
2014-06-18,92.75,93.25,91.5,91.75,"117,064",91.75,172,"10,795,662.50",-1.25,-1.34
2014-06-17,91.5,93,91.25,93,"127,971",93,200,"11,824,133.00",1,1.09
2014-06-16,92.5,93,91,92,"107,643",92,222,"9,898,313.25",-1,-1.08
2014-06-15,93.5,93.75,92.75,93,"49,310",93,144,"4,599,042.75",0,0
2014-06-12,93.25,93.75,92.75,93,"91,997",93,174,"8,583,730.00",0,0
2014-06-11,92.5,94,91.75,93,"172,970",93,331,"16,040,411.00",0.75,0.81
2014-06-10,92.5,93,92,92.25,"103,677",92.25,184,"9,575,596.50",-0.5,-0.54
2014-06-09,92,93.25,92,92.75,"227,433",92.75,297,"21,060,145.25",0.5,0.54
2014-06-08,92,93.25,91.25,92.25,"422,505",92.25,267,"39,001,472.50",0.25,0.27
2014-06-05,91.25,93.25,91,92,"162,369",92,306,"14,996,440.00",1.25,1.38
2014-06-04,91,91.25,90,90.75,"168,392",90.75,314,"15,236,840.50",-1,-1.09
2014-06-03,90.5,94.25,90.5,91.75,"330,507",91.75,552,"30,598,023.25",1.25,1.38
2014-06-02,89.75,90.5,89.5,90.5,"120,507",90.5,217,"10,848,528.75",0.25,0.28
2014-06-01,90.75,90.75,89.75,90.25,"180,583",90.25,254,"16,262,457.00",-0.5,-0.55
2014-05-29,90.75,91.25,89.5,90.75,"249,400",90.75,331,"22,651,247.25",-0.25,-0.27
2014-05-28,88.75,91,88.5,91,"766,964",91,923,"69,029,142.00",4.75,5.51
2014-05-27,86.5,87,86,86.25,"237,037",86.25,220,"20,485,329.00",-0.5,-0.58
2014-05-26,86.5,87.25,85.25,86.75,"211,594",86.75,318,"18,294,776.50",0.75,0.87
2014-05-25,84.25,86.25,84,86,"209,514",86,235,"17,810,281.75",1.5,1.78
2014-05-22,83.5,85,83.5,84.5,"163,960",84.5,178,"13,842,515.75",0.5,0.6
2014-05-21,83.5,84,83.25,84,"112,921",84,140,"9,449,568.50",0.25,0.3
2014-05-20,82.75,84,82.75,83.75,"213,305",83.75,220,"17,803,313.00",1,1.21
2014-05-19,82,83,82,82.75,"89,030",82.75,143,"7,365,122.75",0.75,0.91
2014-05-18,82,83,81.25,82,"259,514",82,209,"21,283,552.50",0.25,0.31
2014-05-15,80.25,82.25,80.25,81.75,"204,401",81.75,281,"16,677,852.75",1.5,1.87
2014-05-14,80.25,81.5,80,80.25,"88,418",80.25,210,"7,121,552.00",0,0
2014-05-13,80.5,80.5,80,80.25,"58,277",80.25,78,"4,667,883.75",0,0
2014-05-12,80.25,80.5,80,80.25,"272,597",80.25,167,"21,878,871.25",-0.25,-0.31
2014-05-11,80,80.75,79.5,80.5,"120,274",80.5,152,"9,655,003.50",0.5,0.63
2014-05-08,80.25,80.5,79.5,80,"736,808",80,406,"58,975,872.75",-0.5,-0.62
2014-05-07,80,80.5,79.25,80.5,"283,204",80.5,270,"22,635,960.25",0.25,0.31
2014-05-06,79.5,80.25,79,80.25,"181,598",80.25,162,"14,414,589.00",0.75,0.94
2014-05-05,81,81,79.25,79.5,"252,660",79.5,188,"20,232,568.75",-1,-1.24
2014-05-04,80.25,81,80,80.5,"187,536",80.5,210,"15,090,263.25",0.25,0.31
2014-05-01,79.75,80.25,79,80.25,"91,585",80.25,121,"7,297,823.25",0,0
2014-04-30,78.75,80.5,78.25,80.25,"376,662",80.25,289,"29,960,988.75",1.5,1.9
2014-04-29,78.5,79,78.25,78.75,"218,378",78.75,143,"17,195,569.25",0.25,0.32
2014-04-28,78.5,78.5,77.25,78.5,"129,464",78.5,93,"10,105,673.25",0.25,0.32
2014-04-27,76.75,78.75,76.5,78.25,"177,238",78.25,213,"13,796,842.50",1.5,1.95
2014-04-24,76.5,76.75,75.75,76.75,"65,393",76.75,78,"4,988,714.00",0.25,0.33
2014-04-23,76.5,76.75,75.25,76.5,"130,078",76.5,112,"9,907,797.75",0,0
2014-04-22,76.5,76.75,75.25,76.5,"109,589",76.5,119,"8,359,828.50",-0.25,-0.33
2014-04-21,77,77.25,76.5,76.75,"35,878",76.75,57,"2,757,413.00",0,0
2014-04-20,75.75,77,75.75,76.75,"56,195",76.75,76,"4,307,276.75",1.25,1.66
2014-04-17,75.5,76.25,75,75.5,"55,085",75.5,85,"4,164,481.00",0.5,0.67
2014-04-16,75.5,75.75,74.5,75,"58,230",75,77,"4,382,912.75",-0.75,-0.99
2014-04-15,75.25,75.75,75.25,75.75,"4,667",75.75,29,"352,114.50",0.5,0.66
2014-04-14,75,75.25,75,75.25,"9,733",75.25,30,"731,053.75",0.25,0.33
2014-04-13,74.75,75.5,74.75,75,"18,586",75,56,"1,395,079.25",-0.25,-0.33
2014-04-10,76.25,76.25,75,75.25,"49,524",75.25,58,"3,755,082.50",-0.75,-0.99
2014-04-09,76.75,76.75,76,76,"16,677",76,46,"1,273,137.75",-0.75,-0.98
2014-04-08,75.75,77,75.75,76.75,"39,388",76.75,54,"3,019,753.25",0.75,0.99
2014-04-07,75.25,76,75,76,"43,164",76,63,"3,270,517.50",0.75,1
2014-04-06,75.75,76,75.25,75.25,"29,421",75.25,70,"2,222,960.75",-0.75,-0.99
2014-04-03,76,76.25,75.5,76,"50,321",76,75,"3,818,241.25",0,0
2014-04-02,76.25,76.5,75.75,76,"50,256",76,76,"3,823,114.75",-0.25,-0.33
2014-04-01,76.75,76.75,75.75,76.25,"52,833",76.25,77,"4,017,130.50",-0.5,-0.65
2014-03-31,77,77,76,76.75,"86,190",76.75,94,"6,577,043.00",-0.25,-0.32
2014-03-30,77.5,77.5,77,77,"15,406",77,39,"1,187,579.25",0,0
2014-03-27,77,77.5,77,77,"31,351",77,36,"2,422,696.50",-0.25,-0.32
2014-03-26,77,77.25,77,77.25,"8,157",77.25,39,"628,439.25",0.5,0.65
2014-03-25,77,78,76.75,76.75,"20,872",76.75,69,"1,613,717.75",-1.25,-1.6
2014-03-24,75.5,79.75,74.5,78,"325,217",78,222,"24,989,587.00",2,2.63
2014-03-23,75.75,76.25,74.25,76,"101,458",76,161,"7,635,597.75",0,0
2014-03-20,76.75,77,75.75,76,"362,397",76,215,"27,676,482.50",-1,-1.3
2014-03-19,76.5,77,76.5,77,"66,098",77,80,"5,084,819.00",0.25,0.33
2014-03-18,77,77.75,76.5,76.75,"49,539",76.75,94,"3,816,982.25",0,0
2014-03-17,76.75,78,76.75,76.75,"126,563",76.75,168,"9,760,949.25",0.25,0.33
2014-03-16,77.5,77.75,76.5,76.5,"51,644",76.5,69,"3,961,804.75",-1.25,-1.61
2014-03-13,78,78.25,77.5,77.75,"22,796",77.75,64,"1,776,249.75",0,0
2014-03-12,78.25,79,77.75,77.75,"51,772",77.75,94,"4,055,262.75",-0.25,-0.32
2014-03-11,79,79,77.75,78,"107,031",78,82,"8,396,659.75",-0.5,-0.64
2014-03-10,79.75,79.75,78.5,78.5,"81,235",78.5,95,"6,423,010.25",-1.5,-1.88
2014-03-09,79.5,80,79.25,80,"34,185",80,51,"2,720,201.50",0.25,0.31
2014-03-06,79.25,80,79.25,79.75,"46,682",79.75,72,"3,708,970.00",0.25,0.31
2014-03-05,79.5,79.75,79,79.5,"27,160",79.5,45,"2,152,362.00",0,0
2014-03-04,79.5,79.75,79,79.5,"37,946",79.5,73,"3,009,459.75",0,0
2014-03-03,79.5,79.75,79,79.5,"79,919",79.5,91,"6,325,701.00",0,0
2014-03-02,79.25,79.5,79,79.5,"75,029",79.5,77,"5,944,324.50",0,0
