Date,Open,High,Low,Close,Volume,Adj Close,Num_deals,Value,Change,Change_per
2014-06-19,25.2,26.4,25.2,26.4,"829,013",26.4,202,"21,504,980.75",1.2,4.76
2014-06-18,25.1,25.4,25.1,25.2,"159,508",25.2,32,"4,033,024.00",0.2,0.8
2014-06-17,24.5,25.2,23.9,25,"417,413",25,73,"10,394,855.25",0.5,2.04
2014-06-16,24.7,24.9,24.5,24.5,"96,658",24.5,25,"2,381,472.50",-0.6,-2.39
2014-06-15,24.7,25.1,24.5,25.1,"257,833",25.1,53,"6,415,735.00",0.4,1.62
2014-06-12,24.7,25.2,24.5,24.7,"237,675",24.7,41,"5,917,313.50",0.2,0.82
2014-06-11,24.7,24.9,24.3,24.5,"63,770",24.5,22,"1,565,074.50",-0.1,-0.41
2014-06-10,25.1,25.1,24.6,24.6,"8,270",24.6,5,"205,338.50",0.2,0.82
2014-06-09,24.8,25.3,24.4,24.4,"393,133",24.4,78,"9,803,456.00",-0.1,-0.41
2014-06-08,24.7,24.9,24.3,24.5,"222,900",24.5,30,"5,532,327.50",0,0
2014-06-05,25.7,25.7,24.5,24.5,"428,195",24.5,121,"10,718,692.00",-1.1,-4.3
2014-06-04,24.2,25.8,23.7,25.6,"1,705,200",25.6,262,"42,399,791.50",1.7,7.11
2014-06-03,22.8,24.4,22.7,23.9,"1,004,570",23.9,194,"23,986,235.00",0.7,3.02
2014-06-02,23,23.2,22.9,23.2,"91,800",23.2,19,"2,111,405.00",-0.1,-0.43
2014-06-01,23.1,23.6,22.9,23.3,"439,313",23.3,85,"10,242,512.00",0,0
2014-05-29,23.3,23.6,22.9,23.3,"101,925",23.3,34,"2,378,539.25",0,0
2014-05-28,23.6,23.9,22.7,23.3,"134,795",23.3,41,"3,164,948.50",-0.5,-2.1
2014-05-27,23.9,24,23.5,23.8,"260,775",23.8,55,"6,208,920.00",-0.1,-0.42
2014-05-26,22.9,24,22.8,23.9,"828,920",23.9,193,"19,552,545.00",1,4.37
2014-05-25,22.5,23.3,22.5,22.9,"620,083",22.9,113,"14,211,576.25",0.2,0.88
2014-05-22,22.7,22.8,22.7,22.7,"144,075",22.7,29,"3,277,221.50",0.2,0.89
2014-05-21,22.7,22.9,22.4,22.5,"645,620",22.5,128,"14,653,459.75",0.1,0.45
2014-05-20,22.3,22.8,22.2,22.4,"899,608",22.4,150,"20,296,350.75",0.4,1.82
2014-05-19,21.3,22.1,21.3,22,"186,525",22,46,"4,069,056.25",0.7,3.29
2014-05-18,21.3,21.9,21.3,21.3,"98,458",21.3,26,"2,116,229.50",-0.4,-1.84
2014-05-15,21.2,21.9,21.2,21.7,"19,950",21.7,10,"431,644.50",0.3,1.4
2014-05-14,21.9,21.9,21.3,21.4,"74,963",21.4,32,"1,610,241.00",-0.3,-1.38
2014-05-13,22.1,22.1,20.4,21.7,"219,450",21.7,48,"4,716,714.75",-0.4,-1.81
2014-05-12,22.4,22.4,22.1,22.1,"154,838",22.1,32,"3,447,920.50",-0.6,-2.64
2014-05-11,22.4,22.7,22.4,22.7,"140,663",22.7,27,"3,167,510.75",0.2,0.89
2014-05-08,22.5,22.8,22.4,22.5,"116,550",22.5,27,"2,632,412.50",0.1,0.45
2014-05-07,22.3,22.4,22.3,22.4,"103,575",22.4,14,"2,318,418.00",-0.1,-0.44
2014-05-06,22.3,22.7,22.3,22.5,"155,475",22.5,40,"3,514,506.75",0.1,0.45
2014-05-05,22.6,22.6,22.3,22.4,"107,100",22.4,22,"2,405,214.75",0.1,0.45
2014-05-04,22.5,22.5,22.3,22.3,"231,170",22.3,42,"5,177,260.50",-0.3,-1.33
2014-05-01,22.8,22.8,22.5,22.6,"128,213",22.6,26,"2,903,640.50",0,0
2014-04-30,22.7,22.7,22.6,22.6,"84,170",22.6,26,"1,904,362.25",-0.1,-0.44
2014-04-29,22.5,22.8,22.5,22.7,"263,308",22.7,62,"5,966,251.25",0.4,1.79
2014-04-28,22.3,22.6,22.3,22.3,"108,338",22.3,28,"2,429,623.50",-0.2,-0.89
2014-04-27,19.3,19.6,19.3,19.4,"101,158",19.4,31,"1,962,800.50",0,0
2014-04-24,19.4,19.4,19.3,19.4,"33,750",19.4,7,"654,177.50",0,0
2014-04-23,19.5,19.6,19.4,19.4,"85,108",19.4,14,"1,657,609.50",-0.2,-1.02
2014-04-22,19.6,19.7,19.4,19.6,"88,275",19.6,36,"1,722,024.75",0,0
2014-04-21,19.7,19.7,19.4,19.6,"94,688",19.6,37,"1,848,679.00",0.1,0.51
2014-04-20,19.9,20,19.3,19.5,"790,970",19.5,137,"15,538,944.00",-0.2,-1.02
2014-04-17,19,20.1,18.9,19.7,"1,936,650",19.7,300,"38,055,906.75",0.6,3.14
2014-04-16,18.9,19.1,18.8,19.1,"128,345",19.1,36,"2,440,177.25",0.2,1.06
2014-04-15,18.9,19.1,18.9,18.9,"255,225",18.9,57,"4,848,916.25",0,0
2014-04-14,19,19.1,18.7,18.9,"170,908",18.9,26,"3,240,355.25",0.1,0.53
2014-04-13,18.9,19.1,18.8,18.8,"136,163",18.8,43,"2,573,264.00",-0.1,-0.53
2014-04-10,22.7,22.7,22.5,22.5,"137,458",22.5,26,"3,095,560.00",-0.2,-0.88
2014-04-09,22.3,22.8,22.3,22.7,"274,258",22.7,70,"6,175,017.00",0.4,1.79
2014-04-08,22.5,22.5,22.3,22.3,"110,795",22.3,29,"2,474,571.50",-0.2,-0.89
2014-04-07,22.7,22.7,22.4,22.5,"62,870",22.5,29,"1,414,938.00",-0.2,-0.88
2014-04-06,22.6,22.7,22.5,22.7,"39,300",22.7,10,"888,544.00",0,0
2014-04-03,22.8,23,22.6,22.7,"205,408",22.7,60,"4,686,606.25",0,0
2014-04-02,22.7,22.8,22.6,22.7,"155,345",22.7,37,"3,527,017.00",0,0
2014-04-01,22.7,23.1,22.6,22.7,"534,320",22.7,104,"12,190,256.50",-0.2,-0.87
2014-03-31,22.9,23.1,22.7,22.9,"476,945",22.9,98,"10,945,076.75",-0.1,-0.43
2014-03-30,18.9,19.1,18.9,18.9,"277,500",18.9,75,"5,274,051.50",0,0
2014-03-27,18.9,19.2,18.8,18.9,"374,588",18.9,101,"7,130,472.75",-0.1,-0.53
2014-03-26,18.9,19.1,18.8,19,"117,658",19,21,"2,229,194.00",0.1,0.53
2014-03-25,19,19.1,18.7,18.9,"304,258",18.9,58,"5,738,618.75",0.2,1.07
2014-03-24,18.9,19.1,18.5,18.7,"289,895",18.7,53,"5,441,097.00",-0.2,-1.06
2014-03-23,18.8,19.5,18.7,18.9,"873,958",18.9,192,"16,724,054.00",0.2,1.07
2014-03-20,18.7,18.7,18.6,18.7,"51,395",18.7,22,"958,870.25",0,0
2014-03-19,19,19,18.5,18.7,"135,750",18.7,37,"2,547,071.25",-0.2,-1.06
2014-03-18,0,0,0,18.9,150,18.9,1,"2,810.00",0,0
2014-03-17,18.9,19,18.7,18.9,"86,533",18.9,21,"1,632,270.00",0.4,2.16
2014-03-16,19,19,18.5,18.5,"127,688",18.5,42,"2,382,931.00",-0.5,-2.63
