Date,Open,High,Low,Close,Volume,Adj Close,Num_deals,Value,Change,Change_per
2014-06-19,22.95,24.65,22.8,24.1,"3,640,682",24.1,"2,352","85,725,282.50",1.25,5.47
2014-06-18,21.8,22.9,21,22.85,"2,505,926",22.85,"1,788","55,910,764.50",0.4,1.78
2014-06-17,22.3,22.7,21.75,22.45,"1,584,085",22.45,"1,385","35,271,653.10",0.25,1.13
2014-06-16,24.7,24.85,22.1,22.2,"4,310,745",22.2,"3,052","100,491,258.35",-2.3,-9.39
2014-06-15,23.5,25.6,23.5,24.5,"4,040,261",24.5,"2,913","99,637,397.45",1.15,4.93
2014-06-12,21.8,23.9,21.6,23.35,"5,886,344",23.35,"3,511","133,707,456.90",1.5,6.86
2014-06-11,21.65,22.1,21.45,21.85,"2,354,596",21.85,"1,484","51,319,878.10",0.3,1.39
2014-06-10,21.8,22.15,21.5,21.55,"2,242,537",21.55,"1,461","48,960,384.80",-0.2,-0.92
2014-06-09,20.95,22.05,20.95,21.75,"3,318,586",21.75,"2,180","71,769,435.10",0.8,3.82
2014-06-08,21,21.15,20.8,20.95,"1,752,647",20.95,"1,207","36,719,281.70",0.3,1.45
2014-06-05,20.85,21.05,20.35,20.65,"989,057",20.65,759,"20,594,790.35",-0.45,-2.13
2014-06-04,21,21.4,20.95,21.1,"1,248,127",21.1,"1,050","26,411,119.20",0.05,0.24
2014-06-03,20.95,21.6,20.85,21.05,"1,570,598",21.05,"1,266","33,319,425.00",0.05,0.24
2014-06-02,20.9,21.15,20.75,21,"1,697,810",21,"1,220","35,540,340.40",-0.1,-0.47
2014-06-01,20.45,21.9,20.35,21.1,"2,677,242",21.1,"1,802","56,338,669.20",0.95,4.71
2014-05-29,20.45,20.5,20,20.15,"823,270",20.15,633,"16,646,244.65",-0.3,-1.47
2014-05-28,19.9,20.5,19.9,20.45,"938,127",20.45,698,"18,981,114.60",0.05,0.25
2014-05-27,20.1,20.7,19.85,20.4,"1,123,729",20.4,912,"22,719,944.05",-0.15,-0.73
2014-05-26,20.85,21.05,20.55,20.55,"926,233",20.55,739,"19,290,336.80",-0.45,-2.14
2014-05-25,21,21.3,20.6,21,"1,680,980",21,"1,387","35,348,419.10",0,0
2014-05-22,20.4,21.25,20.1,21,"1,798,298",21,"1,479","37,511,535.15",0.2,0.96
2014-05-21,20.7,20.8,19.9,20.8,"1,361,843",20.8,"1,180","27,775,501.25",0.35,1.71
2014-05-20,19.8,20.45,19.4,20.45,"1,364,232",20.45,"1,080","27,262,274.55",0.5,2.51
2014-05-19,19.5,20.05,19.1,19.95,"712,271",19.95,665,"13,972,612.65",0.4,2.05
2014-05-18,19.05,19.9,19.05,19.55,"501,596",19.55,449,"9,756,580.60",0.55,2.89
2014-05-15,19,19.3,18.95,19,"472,250",19,476,"9,022,889.05",0,0
2014-05-14,19.05,19.2,18.7,19,"345,188",19,392,"6,553,334.30",-0.2,-1.04
2014-05-13,19,19.45,18.7,19.2,"946,157",19.2,652,"18,164,196.75",0.2,1.05
2014-05-12,18.95,19.05,18.75,19,"539,431",19,522,"10,183,518.60",0,0
2014-05-11,18.35,19.1,18.15,19,"744,287",19,604,"13,900,878.75",1.15,6.44
2014-05-08,18.75,18.9,17.8,17.85,"539,850",17.85,604,"9,968,769.30",-0.45,-2.46
2014-05-07,17.95,18.3,17.6,18.3,"586,308",18.3,689,"10,520,965.70",0.45,2.52
2014-05-06,17.5,17.95,17,17.85,"586,377",17.85,751,"10,248,077.75",0.35,2
2014-05-05,19.35,19.4,17.25,17.5,"944,234",17.5,904,"17,638,149.80",-1.6,-8.38
2014-05-04,18.9,19.5,18.85,19.1,"2,033,412",19.1,"1,457","38,922,592.00",0.3,1.6
2014-05-01,18.75,19,18.4,18.8,"906,166",18.8,908,"16,913,912.40",0.35,1.9
2014-04-30,17.35,18.5,17.35,18.45,"764,405",18.45,816,"13,875,732.80",-0.2,-1.07
2014-04-29,19.05,19.6,18.25,18.65,"903,966",18.65,826,"17,040,173.20",-0.9,-4.6
2014-04-28,19.95,20.05,19.3,19.55,"1,703,449",19.55,"1,286","33,533,325.90",-0.05,-0.26
2014-04-27,20.1,20.4,19.4,19.6,"1,212,410",19.6,980,"24,120,878.65",-1.2,-5.77
2014-04-24,21.3,21.3,20.8,20.8,"2,494,775",20.8,"1,703","52,535,729.55",0.15,0.73
2014-04-23,21.4,21.7,20.1,20.65,"1,824,807",20.65,"1,476","37,577,408.90",-1.65,-7.4
2014-04-22,21.8,22.5,21.2,22.3,"2,437,633",22.3,"1,811","53,177,700.70",0.7,3.24
2014-04-21,20.5,21.65,20.4,21.6,"2,041,092",21.6,"1,511","42,926,721.05",0.95,4.6
2014-04-20,21.15,21.15,20.3,20.65,"1,952,171",20.65,"1,869","40,316,401.10",-1.15,-5.28
2014-04-17,20.3,21.8,20.3,21.8,"2,892,371",21.8,"1,765","60,613,826.00",0.55,2.59
2014-04-16,22.8,22.9,20.7,21.25,"3,475,456",21.25,"2,236","75,326,027.35",-1.75,-7.61
2014-04-15,23.3,23.75,22.65,23,"2,771,067",23,"1,961","63,854,745.45",-0.3,-1.29
2014-04-14,23.9,24.75,22.75,23.3,"1,903,558",23.3,"1,798","45,847,682.40",-0.5,-2.1
2014-04-13,23.4,23.85,23.2,23.8,"1,337,732",23.8,"1,406","31,466,679.70",0.7,3.03
2014-04-10,21.9,23.75,21.6,23.1,"3,571,021",23.1,"2,785","81,114,498.35",0.3,1.32
2014-04-09,23,23.8,22.3,22.8,"3,876,657",22.8,"3,518","89,772,943.10",-0.05,-0.22
2014-04-08,24,25,22.25,22.85,"7,936,129",22.85,"5,346","183,081,553.60",-1.45,-5.97
2014-04-07,26.5,26.5,24.3,24.3,"3,975,400",24.3,"2,892","100,059,441.85",-2.7,-10
2014-04-06,25.6,27.7,25.6,27,"2,630,042",27,"1,830","69,826,610.40",1.5,5.88
2014-04-03,24,25.8,23.1,25.5,"3,724,804",25.5,"2,454","90,926,733.50",1.6,6.69
2014-04-02,21.9,23.9,21.9,23.9,"3,430,270",23.9,"1,930","79,663,123.10",2.15,9.89
2014-04-01,19.9,21.75,19.8,21.75,"3,933,312",21.75,"2,240","81,822,126.25",1.8,9.02
2014-03-31,20.55,21,19.55,19.95,"1,960,243",19.95,"1,466","40,049,973.75",-0.4,-1.97
2014-03-30,20.1,20.7,20.1,20.35,"783,962",20.35,689,"15,989,893.25",0.3,1.5
2014-03-27,19.9,20.3,19.9,20.05,"679,959",20.05,668,"13,664,494.10",-0.05,-0.25
2014-03-26,20.7,21.35,19.65,20.1,"1,855,149",20.1,"1,740","38,294,818.80",-0.75,-3.6
2014-03-25,19.85,21,19.5,20.85,"1,441,784",20.85,"1,083","28,981,298.10",0.8,3.99
2014-03-24,19.65,20.2,19.2,20.05,"1,189,066",20.05,"1,027","23,531,457.85",0.45,2.3
2014-03-23,18.35,19.65,18.35,19.6,"1,579,539",19.6,973,"30,114,963.00",1.45,7.99
2014-03-20,17.9,18.3,17.85,18.15,"1,100,717",18.15,789,"19,999,335.45",0.1,0.55
2014-03-19,16.7,18.35,16.4,18.05,"2,050,519",18.05,"1,564","36,567,623.20",0.35,1.98
2014-03-18,17,17.75,16.95,17.7,"1,400,598",17.7,"1,235","24,277,709.25",0.75,4.42
2014-03-17,16.6,17.5,16.6,16.95,"1,804,498",16.95,"1,274","30,994,349.15",0.25,1.5
2014-03-16,17,17.95,16.3,16.7,"1,629,553",16.7,"1,399","27,705,892.85",-1.1,-6.18
2014-03-13,18.95,19.4,17.8,17.8,"3,704,149",17.8,"2,310","66,651,768.25",-1.95,-9.87
2014-03-12,23.5,24.05,19.75,19.75,"5,861,667",19.75,"3,927","121,330,484.75",-2.15,-9.82
2014-03-11,21,22,20.65,21.9,"1,466,105",21.9,"1,439","31,011,970.60",0.05,0.23
2014-03-10,21.25,23,20.8,21.85,"2,121,594",21.85,"2,075","45,870,791.10",0.85,4.05
2014-03-09,18.5,21,17.2,21,"2,571,849",21,"1,452","49,041,846.95",1.9,9.95
2014-03-06,18.5,19.5,18.4,19.1,"2,264,768",19.1,"1,527","42,668,509.15",0.65,3.52
2014-03-05,16.8,18.6,16.8,18.45,"2,840,968",18.45,"1,328","49,730,851.85",1.45,8.53
2014-03-04,16.85,17.4,16.7,17,"2,742,266",17,"1,391","46,851,782.55",0.2,1.19
2014-03-03,16.65,17.1,16.5,16.8,"2,259,260",16.8,"1,281","38,096,779.50",0.15,0.9
2014-03-02,15.9,16.75,15.9,16.65,"923,707",16.65,649,"15,073,197.85",0.9,5.71
2014-02-27,15.9,16.05,15.6,15.75,"810,230",15.75,590,"12,826,333.75",0.05,0.32
2014-02-26,15.75,15.9,15.6,15.7,"669,236",15.7,557,"10,527,113.00",0.15,0.96
2014-02-25,15.25,16.1,15.2,15.55,"1,612,704",15.55,967,"25,250,235.00",0.4,2.64
2014-02-24,14.85,15.3,14.7,15.15,"954,645",15.15,589,"14,400,689.50",0.5,3.41
2014-02-23,14.6,15,14.45,14.65,"556,254",14.65,424,"8,160,106.60",0.1,0.69
2014-02-20,14.85,14.85,14.45,14.55,"446,769",14.55,376,"6,530,215.25",-0.35,-2.35
2014-02-19,15.3,15.4,14.8,14.9,"887,206",14.9,709,"13,379,227.60",-0.25,-1.65
2014-02-18,15.3,15.85,14.8,15.15,"1,255,804",15.15,894,"19,435,475.95",-0.05,-0.33
2014-02-17,14.6,15.3,14.6,15.2,"1,111,592",15.2,569,"16,767,472.90",0.4,2.7
2014-02-16,14.75,15,14.3,14.8,"588,747",14.8,541,"8,664,331.55",-0.2,-1.33
2014-02-13,14.7,15.35,14.7,15,"1,119,830",15,602,"16,834,832.75",0.4,2.74
2014-02-12,14.45,14.7,14.1,14.6,"795,549",14.6,584,"11,546,162.15",0.2,1.39
2014-02-11,14.05,14.5,13.9,14.4,"1,064,759",14.4,803,"15,134,725.70",0.3,2.13
2014-02-10,13.6,14.8,13.6,14.1,"1,645,434",14.1,"1,112","23,360,914.20",0.25,1.81
2014-02-09,13.1,13.85,13.1,13.85,"820,146",13.85,502,"11,166,781.90",0.85,6.54
2014-02-06,13.15,13.25,12.85,13,"655,200",13,434,"8,597,267.55",-0.1,-0.76
2014-02-05,13.15,13.15,12.55,13.1,"576,872",13.1,433,"7,438,626.95",-0.5,-3.68
2014-02-04,13.5,13.9,13.5,13.6,"361,892",13.6,347,"4,967,870.95",-0.15,-1.09
2014-02-03,14.4,14.5,13.5,13.75,"726,100",13.75,562,"10,014,355.10",-0.55,-3.85
2014-02-02,13.55,14.3,13.55,14.3,"837,987",14.3,481,"11,773,501.55",1.3,10
2014-01-30,13.55,13.75,13,13,"425,845",13,323,"5,774,434.05",-0.8,-5.8
2014-01-29,14.05,14.05,13.5,13.8,"582,534",13.8,459,"8,051,047.85",-0.05,-0.36
2014-01-28,13.45,14.15,13,13.85,"629,181",13.85,533,"8,517,209.45",0.5,3.75
2014-01-27,13.35,13.7,13,13.35,"286,457",13.35,341,"3,813,026.20",-0.25,-1.84
2014-01-26,14.75,14.75,13.6,13.6,"387,556",13.6,397,"5,330,182.05",-1.5,-9.93
2014-01-23,15.35,15.5,14.8,15.1,"528,286",15.1,546,"8,023,841.60",-0.3,-1.95
2014-01-22,15.75,15.8,15,15.4,"574,113",15.4,530,"8,912,060.95",-0.7,-4.35
2014-01-21,16.45,16.45,15.95,16.1,"1,490,192",16.1,"1,186","24,107,740.30",-0.25,-1.53
2014-01-20,16.9,16.9,15.7,16.35,"821,745",16.35,634,"13,253,069.70",-0.4,-2.39
2014-01-19,16.85,17.45,16.6,16.75,"255,316",16.75,262,"4,337,086.45",-0.75,-4.29
2014-01-16,17.1,17.55,16.7,17.5,"466,757",17.5,448,"8,044,977.95",0.15,0.86
