Date,Open,High,Low,Close,Volume,Adj Close,Num_deals,Value,Change,Change_per
2014-06-19,79.5,85.75,78.75,80.5,"10,048,344",80.5,"13,368","830,687,250.75",1.75,2.22
2014-06-18,72.25,78.75,71.5,78.75,"5,785,901",78.75,"6,676","431,823,897.50",7,9.76
2014-06-17,69.5,71.75,69.25,71.75,"2,593,422",71.75,"3,706","183,754,916.25",2.75,3.99
2014-06-16,68,69,66.5,69,"765,893",69,"1,556","52,095,388.75",0.5,0.73
2014-06-15,70,70.25,67.25,68.5,"1,295,922",68.5,"2,021","89,499,412.00",-1,-1.44
2014-06-12,70.25,71.25,68,69.5,"2,534,003",69.5,"3,279","176,973,523.50",-0.25,-0.36
2014-06-11,68,70,67.5,69.75,"1,540,868",69.75,"2,699","106,429,140.00",1.75,2.57
2014-06-10,69.25,72.75,67.25,68,"2,189,904",68,"3,739","153,328,811.75",-2.25,-3.2
2014-06-09,65.75,70.25,63.75,70.25,"1,092,896",70.25,"1,952","74,228,389.25",3,4.46
2014-06-08,74.5,74.5,67.25,67.25,"2,569,470",67.25,"4,367","179,377,782.75",-7.25,-9.73
2014-06-05,74.25,76.75,72.75,74.5,"3,492,222",74.5,"5,441","260,817,848.25",1.75,2.41
2014-06-04,68,73.75,67.25,72.75,"3,913,203",72.75,"5,877","275,246,531.50",4.75,6.99
2014-06-03,135.75,141,130,130.25,"6,167,003",130.25,"5,784","840,449,975.00",-5,-3.7
2014-06-02,131.25,135.25,126.75,135.25,"3,887,843",135.25,"3,662","510,969,169.00",6.5,5.05
2014-06-01,128.75,131.25,126.75,128.75,"3,276,518",128.75,"3,250","418,269,008.00",-4.5,-3.38
2014-05-29,137.25,137.25,130.75,133.25,"7,068,195",133.25,"5,510","963,297,336.00",2.5,1.91
2014-05-28,130.75,130.75,130.75,130.75,"25,650",130.75,42,"3,352,740.00",6.25,5.02
2014-05-27,112.75,124.5,112.75,124.5,"2,680,583",124.5,"1,664","320,780,974.00",6,5.06
2014-05-26,118.5,118.5,118.5,118.5,"52,560",118.5,90,"6,232,448.00",-6.25,-5.01
2014-05-25,132,135.25,124.75,124.75,"2,114,010",124.75,"2,063","276,741,124.00",-6.5,-4.95
2014-05-22,137.25,137.25,130.75,131.25,"2,487,510",131.25,"2,714","332,241,996.00",-6.5,-4.72
2014-05-21,136.75,137.75,131.25,137.75,"3,819,780",137.75,"4,027","516,064,401.00",4.75,3.57
2014-05-20,126.75,133,126.75,133,"1,698,188",133,"1,800","222,816,469.00",6.25,4.93
2014-05-19,131.5,135,126.75,126.75,"2,136,668",126.75,"2,387","278,212,609.00",-6.5,-4.88
2014-05-18,138.25,141.25,133.25,133.25,"4,856,963",133.25,"4,886","673,232,427.00",-5.75,-4.14
2014-05-15,134.5,139,132.75,139,"3,110,063",139,"3,278","425,644,419.00",6.75,5.1
2014-05-14,125.5,132.25,122.5,132.25,"2,891,835",132.25,"2,944","368,990,610.00",6,4.75
2014-05-13,126.5,132.25,126.25,126.25,"1,523,520",126.25,"1,945","194,112,307.00",-6.5,-4.9
2014-05-12,138.25,138.25,132,132.75,"2,008,305",132.75,"2,082","271,310,556.00",-6.25,-4.5
2014-05-11,139.5,140,133.25,139,"4,262,895",139,"4,395","582,999,105.00",4.5,3.35
2014-05-08,123,134.5,123,134.5,"2,065,028",134.5,"1,823","270,987,978.00",6.25,4.87
2014-05-07,131,131.75,128.25,128.25,"1,219,613",128.25,"1,272","157,576,958.00",-6.5,-4.82
2014-05-06,143.25,144.5,134.75,134.75,"2,630,970",134.75,"2,319","365,294,371.00",-7,-4.94
2014-05-05,138.75,142.25,136,141.75,"1,798,718",141.75,"1,800","250,185,297.00",4.75,3.47
2014-05-04,134.75,138.75,134.5,137,"993,060",137,"1,105","135,768,549.00",1.75,1.29
2014-05-01,135.75,136,133.25,135.25,"932,108",135.25,"1,164","125,611,708.00",-0.75,-0.55
2014-04-30,136.5,138.75,131.25,136,"1,141,470",136,"1,353","154,718,816.00",-1.75,-1.27
2014-04-29,136.75,139.75,136.75,137.75,"1,222,245",137.75,"1,264","169,006,108.00",1,0.73
