Date,Open,High,Low,Close,Volume,Adj Close,Num_deals,Value,Change,Change_per
2014-06-19,51.5,51.75,51,51.25,"759,982",51.25,975,"39,029,414.00",-0.5,-0.97
2014-06-18,50.75,51.75,50.25,51.75,"3,641,166",51.75,"2,495","186,033,120.25",0.75,1.47
2014-06-17,53,53.5,50.25,51,"3,896,407",51,"3,341","200,349,255.25",-2.5,-4.67
2014-06-16,55.5,55.5,53,53.5,"3,957,804",53.5,"3,317","213,935,679.25",-2.25,-4.04
2014-06-15,55,56.25,55,55.75,"725,833",55.75,"1,180","40,411,780.25",0.25,0.45
2014-06-12,54.5,55.5,53.75,55.5,"722,936",55.5,"1,197","39,625,953.75",1,1.83
2014-06-11,55.5,55.5,54.25,54.5,"689,167",54.5,"1,333","37,755,225.75",-0.75,-1.36
2014-06-10,53.75,55.5,53.75,55.25,"2,530,056",55.25,"2,279","137,676,998.50",1.75,3.27
2014-06-09,51.5,53.5,51.25,53.5,"1,191,181",53.5,"1,224","62,113,248.75",1.5,2.88
2014-06-08,51.75,52.25,51.5,52,"398,161",52,"1,110","20,709,912.75",0.25,0.48
2014-06-05,51,51.75,50.25,51.75,"205,298",51.75,688,"10,474,821.00",0.5,0.98
2014-06-04,51.5,52.5,51,51.25,"502,209",51.25,"1,085","25,962,896.75",-0.5,-0.97
2014-06-03,50.75,51.75,50.5,51.75,"292,199",51.75,"1,041","15,006,798.75",0.75,1.47
2014-06-02,51,51.5,50,51,"606,429",51,"1,112","30,660,624.50",0.25,0.49
2014-06-01,50,51.25,49.5,50.75,"330,568",50.75,870,"16,760,094.25",0.75,1.5
2014-05-29,48.5,50.25,48.5,50,"349,793",50,902,"17,473,115.75",1.25,2.56
2014-05-28,49.75,50.5,48.5,48.75,"564,642",48.75,940,"27,988,123.00",-1.75,-3.47
2014-05-27,52.25,52.5,50,50.5,"423,681",50.5,"1,039","21,682,219.25",-2.25,-4.27
2014-05-26,52.75,53.25,52.25,52.75,"229,546",52.75,818,"12,117,111.50",0,0
2014-05-25,52.25,52.75,51.25,52.75,"439,533",52.75,955,"22,877,813.75",0.25,0.48
2014-05-22,53.25,53.5,52.25,52.5,"388,454",52.5,900,"20,474,989.75",-1.25,-2.33
2014-05-21,53.5,54.5,53.5,53.75,"356,092",53.75,995,"19,216,149.25",0.25,0.47
2014-05-20,53.25,54.25,52,53.5,"862,436",53.5,"1,398","45,747,973.00",-0.5,-0.93
2014-05-19,54.5,54.75,53.75,54,"287,316",54,977,"15,583,441.75",0,0
2014-05-18,54.25,54.75,53,54,"649,799",54,"1,202","34,971,470.00",-0.25,-0.46
2014-05-15,56.25,56.25,54,54.25,"1,303,239",54.25,"1,522","71,376,214.00",-2.25,-3.98
2014-05-14,57.25,58,56.5,56.5,"453,419",56.5,"1,191","26,048,201.00",-1,-1.74
2014-05-13,57.75,58.25,57,57.5,"906,405",57.5,"1,715","52,017,151.50",-1.5,-2.54
2014-05-12,58.25,60,58.25,59,"2,196,251",59,"1,857","129,909,933.00",0,0
