Date,Open,High,Low,Close,Volume,Adj Close,Num_deals,Value,Change,Change_per
2014-06-19,38.5,38.5,36,36.5,"427,710",36.5,773,"15,854,149.25",-1.25,-3.31
2014-06-18,41,41,37.5,37.75,"541,512",37.75,"1,193","20,829,352.25",-3,-7.36
2014-06-17,41.25,41.75,40.5,40.75,"450,469",40.75,813,"18,506,369.75",0,0
2014-06-16,41.25,41.25,40.5,40.75,"197,903",40.75,563,"8,102,401.50",-0.25,-0.6
2014-06-15,41.75,43,40.5,41,"757,715",41,"1,543","31,572,942.00",0,0
2014-06-12,43.25,43.25,41,41,"392,380",41,783,"16,496,669.25",-2,-4.65
2014-06-11,44.5,44.5,42.5,43,"411,226",43,899,"17,768,888.50",-1.5,-3.37
2014-06-10,45.75,46,44,44.5,"300,447",44.5,779,"13,536,749.75",-0.5,-1.11
2014-06-09,45.25,46.5,44.75,45,"666,342",45,"1,157","30,362,318.25",-0.5,-1.09
2014-06-08,46.25,46.5,44.75,45.5,"482,948",45.5,916,"21,892,607.25",-0.75,-1.62
2014-06-05,47.5,48.5,46,46.25,"377,260",46.25,"1,034","17,746,361.25",-1.5,-3.14
2014-06-04,48.25,49.25,47,47.75,"664,865",47.75,"1,746","32,150,566.75",-0.25,-0.52
2014-06-03,52.5,53,47.5,48,"1,752,054",48,"3,959","88,919,045.50",-4.5,-8.57
2014-06-02,55.5,55.75,52.25,52.5,"2,791,232",52.5,"5,108","149,433,172.25",-2.5,-4.54
2014-06-01,53.5,56.5,53.5,55,"1,287,742",55,"2,726","70,930,817.25",1,1.85
2014-05-29,58.5,59.5,53.5,54,"2,426,746",54,"4,453","137,972,033.00",-3.75,-6.49
2014-05-28,53,57.75,53,57.75,"1,094,283",57.75,"2,398","61,766,371.00",5.25,10
2014-05-27,51,53,49,52.5,"881,322",52.5,"1,736","45,199,519.00",0.75,1.44
2014-05-26,49.5,52.75,49,51.75,"1,065,178",51.75,"1,996","54,784,969.75",2.5,5.07
2014-05-25,50.5,51.5,48.25,49.25,"938,239",49.25,"1,800","47,060,870.50",-1.25,-2.47
2014-05-22,46.25,50.5,45.75,50.5,"2,545,835",50.5,"2,749","123,790,125.25",4.5,9.78
2014-05-21,44.5,46.75,44.5,46,"827,845",46,"1,420","37,779,762.75",2,4.54
2014-05-20,45.5,46,44,44,"414,569",44,892,"18,472,651.75",-1.25,-2.76
2014-05-19,44.75,46.5,43.5,45.25,"616,399",45.25,"1,174","27,814,040.00",1.25,2.84
2014-05-18,43.5,45,43.25,44,"448,051",44,840,"19,842,136.50",0.5,1.14
2014-05-15,44.25,44.75,42.75,43.5,"485,605",43.5,888,"21,108,644.25",-0.5,-1.13
2014-05-14,44,44.5,43.5,44,"215,333",44,637,"9,487,562.25",-0.5,-1.12
2014-05-13,44,45.5,43.75,44.5,"390,277",44.5,"1,069","17,390,649.75",1.5,3.48
2014-05-12,43,43.25,42,43,"271,807",43,733,"11,565,221.00",0.25,0.58
2014-05-11,45,45.75,41.75,42.75,"226,198",42.75,720,"9,822,702.50",-2.25,-5
2014-05-08,62.25,64.75,62,63,"430,520",63,"1,185","27,412,549.25",0.5,0.8
2014-05-07,63.5,65,62,62.5,"385,584",62.5,"1,191","24,325,054.00",-1.5,-2.34
2014-05-06,64.75,65,63.5,64,"281,496",64,846,"18,018,815.50",-0.75,-1.15
2014-05-05,63.5,69,63,64.75,"1,021,967",64.75,"2,130","67,685,569.50",1,1.56
2014-05-04,63,64,61.25,63.75,"274,196",63.75,"1,018","17,092,526.75",1,1.59
2014-05-01,63.5,63.5,62.5,62.75,"258,800",62.75,854,"16,304,659.50",-0.25,-0.39
2014-04-30,64,64.5,63,63,"277,783",63,973,"17,700,191.75",-0.75,-1.17
2014-04-29,62.5,64.5,61.5,63.75,"459,279",63.75,"1,324","28,957,859.75",1.25,2
2014-04-28,63,64,60,62.5,"591,189",62.5,"1,719","36,798,324.00",-0.5,-0.79
2014-04-27,66.5,67,61.25,63,"576,285",63,"1,483","36,917,604.00",-3.5,-5.26
2014-04-24,67.75,68.5,65.75,66.5,"361,910",66.5,"1,198","24,186,733.25",-1,-1.48
2014-04-23,69,69.75,67,67.5,"755,124",67.5,"1,844","51,620,564.50",-1,-1.45
2014-04-22,71.5,71.75,67.75,68.5,"512,434",68.5,"1,379","35,682,428.00",-3.25,-4.52
2014-04-21,72.75,73.5,71.75,71.75,"550,941",71.75,"1,402","40,085,746.25",-0.75,-1.03
2014-04-20,74,74.25,72,72.5,"814,761",72.5,"1,965","59,805,470.50",-1.25,-1.69
2014-04-17,74.75,75.75,73.75,73.75,"1,063,047",73.75,"2,170","79,383,890.00",-0.25,-0.33
2014-04-16,75.5,76.5,73.75,74,"823,188",74,"1,907","61,678,912.25",-0.75,-1
2014-04-15,74.5,76.25,73,74.75,"459,545",74.75,"1,228","34,356,206.75",1,1.35
2014-04-14,70,75,69.75,73.75,"557,608",73.75,"1,478","40,524,237.00",3.25,4.6
2014-04-13,73.5,73.5,70,70.5,"419,442",70.5,"1,276","30,018,571.50",-3.5,-4.72
2014-04-10,76,76.25,73.25,74,"497,422",74,991,"37,189,292.25",-1.75,-2.31
2014-04-09,76,77,75,75.75,"653,879",75.75,"1,322","49,792,025.25",-0.25,-0.32
2014-04-08,75,78.25,75,76,"995,477",76,"1,718","76,499,763.50",1.25,1.67
2014-04-07,75,76.5,73.5,74.75,"598,820",74.75,"1,577","44,860,023.00",0,0
2014-04-06,77,78.5,74.25,74.75,"736,031",74.75,"1,742","55,947,582.00",-2.25,-2.92
2014-04-03,75,77.75,74.25,77,"1,170,437",77,"2,205","89,361,195.75",2.5,3.35
2014-04-02,75,76.25,73.75,74.5,"785,113",74.5,"1,947","58,887,459.75",0.25,0.33
2014-04-01,72,77.25,72,74.25,"1,543,488",74.25,"3,411","116,207,671.75",3,4.21
2014-03-31,70,72.25,68.75,71.25,"694,673",71.25,"1,495","48,957,462.50",1.75,2.51
2014-03-30,69.25,71.5,68.75,69.5,"537,527",69.5,"1,460","37,704,426.75",0.25,0.36
2014-03-27,71.5,72.75,69,69.25,"841,195",69.25,"2,157","59,742,072.75",-2,-2.8
2014-03-26,70,73.5,68.75,71.25,"1,647,172",71.25,"3,349","116,851,200.25",3.25,4.77
2014-03-25,65,70.5,64.5,68,"1,404,566",68,"2,913","95,700,224.75",3,4.61
2014-03-24,65.75,66.75,64,65,"704,204",65,"2,001","45,994,151.50",-0.75,-1.14
2014-03-23,65,68,64.5,65.75,"881,539",65.75,"2,241","58,243,927.25",1.75,2.73
2014-03-20,66.5,67.5,63.5,64,"1,195,703",64,"2,698","78,219,448.25",-3,-4.47
2014-03-19,65,68.5,63,67,"1,274,536",67,"2,486","84,903,770.00",3,4.68
2014-03-18,66.75,67,63,64,"703,968",64,"1,722","45,732,786.00",-2.25,-3.39
2014-03-17,67.75,69,66,66.25,"606,594",66.25,"1,853","40,735,672.25",-1.75,-2.57
2014-03-16,69.5,70.75,62.75,68,"1,102,816",68,"2,614","73,655,976.25",-1.5,-2.15
2014-03-13,73.25,73.5,68,69.5,"1,115,434",69.5,"2,845","77,990,750.75",-3.5,-4.79
2014-03-12,75.75,77,70,73,"1,553,668",73,"3,344","115,304,967.25",0,0
2014-03-11,67,73,66.5,73,"1,548,701",73,"2,746","109,524,176.75",6.5,9.77
2014-03-10,64.5,66.75,61.5,66.5,"1,255,251",66.5,"2,624","79,878,994.00",1.75,2.7
2014-03-09,63,65.5,61.25,64.75,"1,581,820",64.75,"2,598","101,134,250.75",5,8.36
2014-03-06,54.5,59.75,54,59.75,"1,047,873",59.75,"1,402","60,761,707.00",5.25,9.63
2014-03-05,55,55.5,52,54.5,"849,404",54.5,"1,586","46,252,433.50",0.75,1.39
2014-03-04,51,53.75,50.5,53.75,"473,461",53.75,"1,042","24,996,272.75",4.75,9.69
2014-03-03,50,50,48,49,"288,750",49,736,"14,157,640.25",-0.5,-1.01
2014-03-02,50,51.25,48.75,49.5,"339,893",49.5,758,"17,038,663.25",-1,-1.98
2014-02-27,52,52.75,50.25,50.5,"413,664",50.5,834,"21,313,723.25",-1.25,-2.42
2014-02-26,50.25,52.75,50.25,51.75,"366,797",51.75,"1,120","18,935,017.75",0.25,0.49
2014-02-25,50,56.5,47.75,51.5,"1,314,923",51.5,"2,469","68,399,254.25",-1.5,-2.83
2014-02-24,56,57,52.25,53,"676,513",53,"1,562","36,872,900.00",-3,-5.36
2014-02-23,58.5,59,55.75,56,"366,148",56,984,"20,798,211.50",-3,-5.08
2014-02-20,59,60,57.75,59,"653,505",59,"1,563","38,490,744.25",1,1.72
2014-02-19,56.5,59.25,55,58,"652,705",58,"1,527","37,405,986.25",-0.25,-0.43
2014-02-18,63.5,63.5,58.25,58.25,"1,007,254",58.25,"2,035","60,911,093.50",-6.25,-9.69
2014-02-17,66.5,67.25,64,64.5,"498,636",64.5,"1,302","32,854,101.75",-2,-3.01
2014-02-16,66,67.5,65.75,66.5,"709,947",66.5,"1,656","47,409,402.75",1,1.53
2014-02-13,64.75,66.25,63.25,65.5,"803,236",65.5,"1,857","52,301,667.75",0.75,1.16
2014-02-12,66,66.25,64.25,64.75,"568,612",64.75,"1,711","37,048,335.75",-0.25,-0.38
2014-02-11,65.75,67.5,63,65,"1,729,189",65,"3,584","113,598,310.50",0.5,0.78
2014-02-10,63.75,66.5,62.5,64.5,"1,468,384",64.5,"3,020","95,755,648.25",1.5,2.38
2014-02-09,58.75,64.5,57.25,63,"1,677,994",63,"3,204","102,385,093.00",3.75,6.33
2014-02-06,54,61,52.25,59.25,"1,397,349",59.25,"3,022","81,331,994.50",3.25,5.8
2014-02-05,62,63.5,55.5,56,"952,886",56,"2,312","54,735,423.75",-5.5,-8.94
