Date,Open,High,Low,Close,Volume,Adj Close,Num_deals,Value,Change,Change_per
2014-06-19,52,53.5,51,51.5,"1,891,642",51.5,"2,193","98,894,077.25",-0.25,-0.48
2014-06-18,52.25,52.75,51.25,51.75,"640,973",51.75,"1,057","33,320,459.75",-0.75,-1.43
2014-06-17,52,54,51.75,52.5,"1,947,135",52.5,"2,111","102,854,741.50",0.75,1.45
2014-06-16,52.5,52.5,51.5,51.75,"502,905",51.75,883,"26,164,571.75",-0.25,-0.48
2014-06-15,52,53,51,52,"1,711,666",52,"2,234","89,007,186.00",0.5,0.97
2014-06-12,52,54,51.25,51.5,"2,852,338",51.5,"3,402","150,578,713.25",-0.25,-0.48
2014-06-11,53,53.5,51.25,51.75,"898,424",51.75,"1,310","47,356,935.25",-1.25,-2.36
2014-06-10,53.75,54.5,52.75,53,"1,205,677",53,"1,834","64,613,808.50",-1,-1.85
2014-06-09,52.5,55,51.5,54,"2,466,842",54,"2,726","132,308,894.00",2,3.85
2014-06-08,51.25,53.25,50.75,52,"1,184,716",52,"1,964","61,698,375.25",-0.25,-0.48
2014-06-05,53,53,51.75,52.25,"909,143",52.25,"1,580","47,497,658.75",0,0
2014-06-04,52,54.25,51.5,52.25,"3,552,201",52.25,"4,435","188,211,113.75",1,1.95
2014-06-03,53.25,54.25,51,51.25,"1,779,776",51.25,"2,635","92,991,338.50",-1.5,-2.84
2014-06-02,54,56.25,52.75,52.75,"5,651,506",52.75,"7,024","308,323,699.25",-0.25,-0.47
2014-06-01,48.5,53,48.2,53,"4,152,049",53,"4,743","210,425,970.60",4.8,9.96
2014-05-29,48.5,48.6,48,48.2,"477,781",48.2,842,"23,076,914.50",-0.5,-1.03
2014-05-28,49.3,49.8,48.4,48.7,"594,483",48.7,"1,083","29,015,678.00",0.1,0.21
2014-05-27,47.7,50.25,47.6,48.6,"2,784,193",48.6,"3,431","137,271,352.75",0.6,1.25
2014-05-26,49.1,49.2,48,48,"605,999",48,"1,068","29,461,254.60",-0.8,-1.64
2014-05-25,49.2,49.6,48.6,48.8,"934,750",48.8,"1,683","45,827,047.10",0.2,0.41
2014-05-22,48,50.25,47.5,48.6,"2,671,733",48.6,"3,513","131,591,434.85",0.8,1.67
2014-05-21,47.5,49.1,46.6,47.8,"1,050,091",47.8,"2,121","50,477,049.80",0.2,0.42
2014-05-20,48.6,49.2,47.4,47.6,"701,107",47.6,"1,476","33,748,415.70",-1.2,-2.46
2014-05-19,49.7,50.75,48.3,48.8,"963,492",48.8,"1,785","47,728,673.80",-0.8,-1.61
2014-05-18,48.5,51,48.2,49.6,"1,394,624",49.6,"2,378","69,433,373.85",1.2,2.48
2014-05-15,51,51,48.2,48.4,"1,620,149",48.4,"3,451","80,353,982.45",-2.1,-4.16
2014-05-14,48.1,53,47,50.5,"6,752,344",50.5,"8,261","341,641,826.00",1.6,3.27
2014-05-13,45,48.9,44.6,48.9,"5,491,532",48.9,"6,998","259,335,063.40",4.4,9.89
2014-05-12,43.5,46.5,42.1,44.5,"2,983,188",44.5,"4,822","131,056,732.90",1,2.3
2014-05-11,31.8,33,31.8,32.5,"629,146",32.5,803,"20,433,702.50",1.2,3.83
2014-05-08,31.4,32,30.9,31.3,"344,889",31.3,462,"10,862,731.60",-0.2,-0.63
2014-05-07,31.6,32.6,31.3,31.5,"991,745",31.5,"1,041","31,671,417.00",0.2,0.64
2014-05-06,30.2,31.9,30.1,31.3,"900,262",31.3,918,"27,832,941.90",1.1,3.64
2014-05-05,30.7,30.8,30,30.2,"398,308",30.2,469,"12,073,588.00",1,3.42
2014-05-04,29.4,29.5,29,29.2,"267,461",29.2,300,"7,837,046.40",0.2,0.69
2014-05-01,29.7,30,29,29,"270,423",29,375,"7,949,862.40",-1.2,-3.97
2014-04-30,29.9,30.7,29.4,30.2,"402,771",30.2,490,"12,184,287.00",0.1,0.33
2014-04-29,29.8,31.3,29.4,30.1,"782,826",30.1,869,"23,802,605.70",0.7,2.38
2014-04-28,28.7,29.5,28.3,29.4,"606,864",29.4,717,"17,563,201.30",1.6,5.76
2014-04-27,27.6,28.6,27.6,27.8,"505,720",27.8,610,"14,191,465.10",0.3,1.09
2014-04-24,26.6,27.7,26.5,27.5,"379,369",27.5,494,"10,356,514.70",0.8,3
2014-04-23,27,27,26.1,26.7,"215,341",26.7,355,"5,722,408.80",-0.2,-0.74
2014-04-22,27.8,28,25.8,26.9,"455,216",26.9,596,"12,239,490.30",-0.7,-2.54
2014-04-21,26.4,28,26.4,27.6,"366,811",27.6,557,"9,991,628.30",1.5,5.75
2014-04-20,27.2,27.7,26.1,26.1,"605,300",26.1,845,"16,006,064.70",-2.8,-9.69
2014-04-17,32.4,32.4,28.9,28.9,"471,511",28.9,747,"14,492,614.40",-3.2,-9.97
2014-04-16,32.5,33,31.6,32.1,"236,140",32.1,374,"7,603,262.00",-0.5,-1.53
2014-04-15,33.8,34.6,32.4,32.6,"540,166",32.6,795,"18,136,216.00",-0.8,-2.4
2014-04-14,33.6,35.1,33,33.4,"419,836",33.4,584,"14,458,960.40",0.1,0.3
2014-04-13,33,33.3,32.8,33.3,"75,832",33.3,153,"2,506,578.60",0,0
2014-04-10,33.2,33.4,33,33.3,"108,586",33.3,164,"3,604,373.50",0,0
2014-04-09,33.3,33.9,33.3,33.3,"83,722",33.3,175,"2,812,426.90",-0.1,-0.3
2014-04-08,33.4,33.4,32.9,33.4,"127,952",33.4,263,"4,244,946.10",-0.1,-0.3
2014-04-07,34.7,34.7,33,33.5,"256,163",33.5,432,"8,617,343.90",-1,-2.9
2014-04-06,34.6,34.7,34,34.5,"99,459",34.5,158,"3,432,450.90",-0.1,-0.29
2014-04-03,34.6,34.7,34.4,34.6,"73,763",34.6,159,"2,545,569.20",0,0
2014-04-02,34.7,34.8,34.5,34.6,"50,629",34.6,122,"1,751,163.30",-0.1,-0.29
2014-04-01,35,35,34.6,34.7,"67,465",34.7,156,"2,350,021.10",0.3,0.87
2014-03-31,34.7,34.9,34.4,34.4,"118,910",34.4,215,"4,121,192.30",-0.4,-1.15
2014-03-30,45.5,49.2,42,43.5,"5,874,423",43.5,"7,822","275,652,782.70",-1.3,-2.9
2014-03-27,42.4,44.8,41.9,44.8,"3,739,452",44.8,"3,716","165,144,287.20",4,9.8
2014-03-26,38.4,40.8,38.3,40.8,"2,130,018",40.8,"2,690","84,003,209.50",3.7,9.97
2014-03-25,34,37.1,33.9,37.1,"2,376,773",37.1,"2,378","85,509,364.70",3.3,9.76
2014-03-24,33.4,34.6,33.3,33.8,"867,436",33.8,"1,038","29,532,443.70",0.5,1.5
2014-03-23,33.3,34,33.1,33.3,"1,087,080",33.3,996,"36,513,289.20",0.4,1.22
2014-03-20,32.6,33.6,32.5,32.9,"863,361",32.9,876,"28,544,524.60",0.5,1.54
2014-03-19,32.4,32.6,32.3,32.4,"228,828",32.4,293,"7,430,448.60",0.1,0.31
2014-03-18,32,32.4,32,32.3,"266,808",32.3,333,"8,595,441.20",0.4,1.25
2014-03-17,31.6,32.3,31.5,31.9,"282,021",31.9,408,"8,999,905.20",0.5,1.59
2014-03-16,31.7,32,31.4,31.4,"121,632",31.4,239,"3,865,875.20",-0.2,-0.63
2014-03-13,31.7,31.8,31.3,31.6,"138,006",31.6,261,"4,352,522.00",-0.1,-0.32
2014-03-12,32.2,32.4,31.6,31.7,"189,460",31.7,319,"6,046,363.40",-0.3,-0.94
2014-03-11,32.5,32.5,31.8,32,"255,490",32,356,"8,197,150.60",-0.6,-1.84
2014-03-10,33,33,32.5,32.6,"304,184",32.6,404,"9,949,082.80",-0.3,-0.91
2014-03-09,33,33.1,32.7,32.9,"167,649",32.9,236,"5,513,251.10",0,0
2014-03-06,32.6,32.9,32.6,32.9,"157,165",32.9,228,"5,151,009.00",0.2,0.61
2014-03-05,33.1,33.5,32.7,32.7,"269,432",32.7,330,"8,911,707.20",-0.4,-1.21
2014-03-04,32.8,33.5,32.6,33.1,"575,130",33.1,616,"19,060,835.00",0.3,0.91
2014-03-03,33.1,33.1,32.5,32.8,"297,973",32.8,415,"9,776,181.70",0.1,0.31
2014-03-02,35,35.1,34.7,34.8,"109,456",34.8,190,"3,818,047.50",-0.2,-0.57
2014-02-27,34.4,35.1,34.4,35,"270,803",35,345,"9,457,794.40",0.7,2.04
2014-02-26,33.8,34.7,33.7,34.3,"285,919",34.3,450,"9,755,257.80",0.8,2.39
2014-02-25,33.1,33.8,33.1,33.5,"145,406",33.5,227,"4,866,259.10",0.2,0.6
2014-02-24,32.9,33.7,32.9,33.3,"396,369",33.3,492,"13,191,859.50",0.8,2.46
2014-02-23,32.7,32.9,32.4,32.5,"123,404",32.5,206,"4,020,999.30",0,0
2014-02-20,32.9,33.1,32.2,32.5,"145,650",32.5,277,"4,749,512.40",-0.4,-1.22
2014-02-19,31.7,33.5,31.7,32.9,"246,604",32.9,484,"8,127,045.20",0.3,0.92
2014-02-18,34.9,34.9,32.5,32.6,"503,317",32.6,787,"16,729,411.60",-3.5,-9.7
2014-02-17,36.6,36.7,36.1,36.1,"191,418",36.1,301,"6,955,667.60",-0.5,-1.37
2014-02-16,36.9,37.1,36.6,36.6,"152,372",36.6,236,"5,615,896.90",-0.3,-0.81
2014-02-13,36.8,37.2,36.7,36.9,"316,346",36.9,456,"11,693,915.30",0.2,0.54
2014-02-12,32.3,33.2,32.1,32.7,"381,785",32.7,485,"12,486,785.50",0.5,1.55
2014-02-11,32.4,32.4,32,32.2,"221,628",32.2,307,"7,124,330.70",0,0
2014-02-10,33.2,33.5,32,32.2,"477,278",32.2,615,"15,548,137.10",-0.8,-2.42
2014-02-09,32.4,33.8,32.1,33,"872,524",33,804,"28,811,753.50",0.6,1.85
2014-02-06,32.5,32.6,32.3,32.4,"159,867",32.4,191,"5,184,536.60",-0.2,-0.61
2014-02-05,32.5,33,32.5,32.6,"312,279",32.6,352,"10,204,324.60",0.1,0.31
2014-02-04,32.6,32.7,32.2,32.5,"224,534",32.5,256,"7,282,967.70",0.2,0.62
