Date,Open,High,Low,Close,Volume,Adj Close,Num_deals,Value,Change,Change_per
2014-06-19,41.5,42,41.5,41.8,"343,840",41.8,81,"14,349,907.25",0.4,0.97
2014-06-18,40.6,41.5,40.4,41.4,"344,380",41.4,100,"14,112,918.25",0.8,1.97
2014-06-17,40.4,41,40.4,40.6,"222,680",40.6,61,"9,074,187.50",0.2,0.5
2014-06-16,40.3,40.4,40.3,40.4,"220,570",40.4,30,"8,902,231.00",0.1,0.25
2014-06-15,40.3,40.3,40.1,40.3,"130,970",40.3,46,"5,260,665.25",0,0
2014-06-12,39.8,40.3,39.8,40.3,"259,950",40.3,54,"10,414,272.00",0.8,2.03
2014-06-11,39.8,39.8,39.5,39.5,"43,280",39.5,9,"1,710,685.00",-0.1,-0.25
2014-06-10,40,40,39.5,39.6,"147,660",39.6,24,"5,821,525.25",-0.4,-1
2014-06-09,40.1,40.1,40,40,"62,020",40,18,"2,480,494.00",-0.1,-0.25
2014-06-08,40.5,40.5,39.8,40.1,"370,130",40.1,43,"14,769,672.75",-0.4,-0.99
2014-06-05,39.5,40.5,39.5,40.5,"950,250",40.5,147,"38,135,711.50",1.1,2.79
2014-06-04,38.8,39.8,38.8,39.4,"1,116,600",39.4,125,"43,747,811.25",0.6,1.55
2014-06-03,38.8,38.8,38.6,38.8,"508,480",38.8,71,"19,703,794.00",0.2,0.52
2014-06-02,38.4,38.8,38.3,38.6,"381,930",38.6,64,"14,714,971.25",0.6,1.58
2014-06-01,38.3,38.4,38,38,"300,450",38,45,"11,488,011.25",-0.1,-0.26
2014-05-29,38,38.1,38.1,38.1,"14,200",38.1,3,"540,790.00",0.1,0.26
2014-05-28,37.8,38.3,37.8,38,"376,380",38,54,"14,288,285.00",0.4,1.06
2014-05-27,37.8,37.8,37.6,37.6,"139,600",37.6,20,"5,268,634.75",-0.2,-0.53
2014-05-26,37.5,37.8,37.8,37.8,"22,900",37.8,5,"864,225.00",0.3,0.8
2014-05-25,37.5,37.8,37.5,37.5,"27,500",37.5,7,"1,033,150.00",0,0
2014-05-22,37.6,37.8,37.5,37.5,"252,400",37.5,39,"9,491,924.75",-0.1,-0.27
2014-05-21,37.4,37.6,37.3,37.6,"450,520",37.6,42,"16,848,966.00",0.2,0.53
2014-05-20,37.4,37.4,37.4,37.4,"44,800",37.4,6,"1,675,165.00",0,0
2014-05-19,37.1,37.5,37,37.4,"74,820",37.4,18,"2,780,665.00",0.3,0.81
2014-05-18,37.1,37.1,37.1,37.1,"1,650",37.1,1,"61,297.50",0,0
