Date,Open,High,Low,Close,Volume,Adj Close,Num_deals,Value,Change,Change_per
2014-06-19,67,67.5,66.5,66.75,"52,289",66.75,103,"3,496,575.00",0.5,0.75
2014-06-18,65.75,67.25,65.75,66.25,"55,666",66.25,92,"3,703,694.25",-0.5,-0.75
2014-06-17,66,66.75,65.5,66.75,"110,426",66.75,139,"7,318,483.25",-0.25,-0.37
2014-06-16,65.25,67,65,67,"87,501",67,159,"5,803,167.50",2,3.08
2014-06-15,64,65.25,64,65,"102,182",65,122,"6,617,070.50",0.75,1.17
2014-06-12,64,64.75,64,64.25,"105,573",64.25,152,"6,798,478.75",0.5,0.78
2014-06-11,62.5,64.25,61,63.75,"206,170",63.75,301,"12,961,670.25",1.25,2
2014-06-10,62.25,63,62,62.5,"138,778",62.5,217,"8,687,574.00",-0.25,-0.4
2014-06-09,61,63.25,60.75,62.75,"357,200",62.75,371,"22,155,795.25",1.75,2.87
2014-06-08,61,62,60.5,61,"257,558",61,473,"15,784,889.00",1,1.67
2014-06-05,59.25,60.75,59,60,"295,841",60,449,"17,764,151.50",1.5,2.56
2014-06-04,58,58.75,58,58.5,"132,006",58.5,275,"7,699,871.25",0.5,0.86
2014-06-03,58.5,58.5,57.75,58,"102,038",58,205,"5,930,581.75",-0.5,-0.85
2014-06-02,58,59.75,57.25,58.5,"331,678",58.5,466,"19,224,827.75",0.5,0.86
2014-06-01,59.25,59.25,57.75,58,"298,475",58,307,"17,409,646.00",-1.25,-2.11
2014-05-29,59.5,59.5,59,59.25,"158,938",59.25,152,"9,404,022.75",0,0
2014-05-28,60,60.75,58.75,59.25,"255,767",59.25,357,"15,160,093.50",-0.75,-1.25
2014-05-27,60.25,61,60,60,"96,816",60,151,"5,840,218.00",-0.75,-1.23
2014-05-26,62.25,62.25,60.75,60.75,"90,757",60.75,160,"5,582,503.75",-1,-1.62
2014-05-25,63,63,61.75,61.75,"79,013",61.75,143,"4,927,372.50",-1.75,-2.76
2014-05-22,63,64,62.75,63.5,"162,907",63.5,234,"10,309,146.75",1,1.6
2014-05-21,61.75,63,61.5,62.5,"134,428",62.5,196,"8,367,755.50",1,1.63
2014-05-20,60.5,61.75,60,61.5,"165,632",61.5,206,"10,073,347.25",1,1.65
2014-05-19,60,60.75,60,60.5,"42,084",60.5,108,"2,538,115.00",0.5,0.83
2014-05-18,60,60.5,59.5,60,"98,033",60,165,"5,862,154.25",-0.75,-1.23
2014-05-15,59,60.75,59,60.75,"72,231",60.75,147,"4,304,555.25",1.75,2.97
2014-05-14,58.5,59,58,59,"18,540",59,61,"1,082,628.25",0.5,0.85
2014-05-13,59,59,58,58.5,"36,204",58.5,50,"2,104,454.00",-0.5,-0.85
2014-05-12,58.5,59,58,59,"17,478",59,50,"1,022,850.75",0.25,0.43
2014-05-11,59.25,59.25,58.25,58.75,"9,513",58.75,35,"557,573.00",0.25,0.43
2014-05-08,58.75,59,58.5,58.5,"13,491",58.5,38,"791,458.50",-0.5,-0.85
2014-05-07,59,60,58.25,59,"57,588",59,124,"3,401,961.25",-1,-1.67
2014-05-06,60,60,59,60,"18,228",60,38,"1,089,167.50",-0.25,-0.41
2014-05-05,60,61.25,59.75,60.25,"21,615",60.25,57,"1,310,124.50",0.25,0.42
2014-05-04,58.5,60.25,58.5,60,"55,269",60,87,"3,287,318.50",1,1.69
