Date,Open,High,Low,Close,Volume,Adj Close,Num_deals,Value,Change,Change_per
2014-06-19,9.5,9.55,8.8,8.85,"1,550,170",8.85,"1,246","14,102,955.05",-0.5,-5.35
2014-06-18,9.15,9.75,9.1,9.35,"2,087,419",9.35,"1,460","19,599,106.65",-0.5,-5.08
2014-06-17,9.85,9.9,9.85,9.85,"493,080",9.85,460,"4,857,609.40",-1.05,-9.63
2014-06-16,11.1,11.1,10.6,10.9,"1,954,791",10.9,"1,125","21,237,845.40",-0.5,-4.39
2014-06-15,11.35,11.7,11.2,11.4,"2,460,418",11.4,"1,315","28,258,296.15",0.25,2.24
2014-06-12,11,11.15,10.75,11.15,"1,284,702",11.15,910,"14,121,994.35",0.4,3.72
2014-06-11,11.05,11.15,10.7,10.75,"1,518,346",10.75,982,"16,633,087.90",-0.25,-2.27
2014-06-10,11.45,11.45,10.95,11,"2,525,048",11,"1,493","28,208,159.95",-0.3,-2.65
2014-06-09,11.4,11.5,11,11.3,"3,000,311",11.3,"1,765","33,850,676.30",-0.9,-7.38
2014-06-08,12,12.2,12,12.2,"2,615,930",12.2,"1,774","31,704,437.55",1.1,9.91
2014-06-05,10.45,11.1,10.4,11.1,"2,111,910",11.1,"1,525","22,919,118.55",1,9.9
2014-06-04,10,10.35,9.5,10.1,"1,855,397",10.1,"1,307","18,501,477.25",0.1,1
2014-06-03,9.8,10.5,9.8,10,"1,310,782",10,"1,248","13,387,414.60",-0.75,-6.98
2014-06-02,11.1,11.5,10.6,10.75,"1,749,478",10.75,"1,495","18,839,190.35",-1,-8.51
2014-06-01,11.75,11.9,11.75,11.75,"1,488,958",11.75,799,"17,518,500.65",-1.3,-9.96
2014-05-29,13.05,13.05,13.05,13.05,"134,327",13.05,202,"1,752,967.35",-1.4,-9.69
2014-05-28,13.65,14.5,13.55,14.45,"1,088,421",14.45,896,"15,253,200.60",0.95,7.04
2014-05-27,13.25,13.7,13.05,13.5,"772,353",13.5,769,"10,378,537.65",0,0
2014-05-26,14.2,14.2,13.3,13.5,"1,060,347",13.5,687,"14,817,526.35",-0.9,-6.25
2014-05-25,14.5,14.7,14.3,14.4,"902,528",14.4,659,"13,089,127.45",-0.1,-0.69
2014-05-22,14.6,14.7,14.1,14.5,"979,680",14.5,789,"14,181,653.30",-0.1,-0.68
2014-05-21,14.55,14.95,14.45,14.6,"1,352,156",14.6,988,"19,862,540.30",0.8,5.8
2014-05-20,13.15,14,13.15,13.8,"1,230,890",13.8,"1,082","16,853,920.20",0.85,6.56
2014-05-19,11.8,13,11.75,12.95,"1,433,075",12.95,"1,261","17,884,554.15",-0.05,-0.38
2014-05-18,14,14.05,13,13,"798,209",13,813,"10,697,921.45",-1.35,-9.41
2014-05-15,15,15,13.65,14.35,"975,880",14.35,983,"13,784,445.75",-0.65,-4.33
2014-05-14,15.65,15.95,15,15,"793,593",15,664,"12,199,904.45",-0.75,-4.76
2014-05-13,15.5,15.75,15.25,15.75,"747,575",15.75,537,"11,664,805.75",0,0
2014-05-12,16.25,16.25,15.75,15.75,"991,301",15.75,626,"15,810,166.00",-0.5,-3.08
2014-05-11,15.75,16.5,15.75,16.25,"1,734,624",16.25,864,"28,008,327.00",0.5,3.17
2014-05-08,16.25,16.5,15.5,15.75,"1,017,424",15.75,820,"16,381,899.75",-0.5,-3.08
2014-05-07,17.5,17.5,16,16.25,"1,812,516",16.25,"1,192","29,918,557.50",-1.5,-8.45
2014-05-06,18.25,18.25,17.75,17.75,"429,951",17.75,556,"7,745,184.50",-0.25,-1.39
2014-05-05,18.25,18.5,18,18,"773,227",18,700,"14,035,171.25",-0.5,-2.7
2014-05-04,18.75,18.75,18.25,18.5,"292,686",18.5,372,"5,418,850.50",-0.25,-1.33
2014-05-01,18.5,18.75,18.5,18.75,"756,262",18.75,663,"14,033,745.50",0,0
2014-04-30,19,19,18.5,18.75,"895,600",18.75,876,"16,791,407.00",-0.5,-2.6
2014-04-29,19.25,19.5,19,19.25,"934,522",19.25,948,"17,952,744.75",-0.25,-1.28
2014-04-28,19.5,19.75,19.25,19.5,"798,363",19.5,623,"15,555,626.00",0,0
2014-04-27,19.5,19.75,19.25,19.5,"1,311,829",19.5,799,"25,614,620.75",-0.25,-1.27
2014-04-24,19.5,20,19.25,19.75,"3,529,737",19.75,"1,675","69,559,735.75",0,0
2014-04-23,19,19.75,18.75,19.75,"3,852,188",19.75,"2,492","73,900,306.25",0.5,2.6
2014-04-22,19.25,19.5,18.75,19.25,"1,297,953",19.25,940,"24,804,151.75",0,0
2014-04-21,19.25,19.75,19.25,19.25,"664,019",19.25,746,"12,920,543.25",0,0
2014-04-20,19.25,19.5,19,19.25,"504,720",19.25,640,"9,705,130.25",-0.25,-1.28
2014-04-17,19.5,19.5,19,19.5,"1,214,181",19.5,756,"23,562,886.25",0,0
2014-04-16,18.75,19.5,18.75,19.5,"1,256,840",19.5,937,"23,907,087.25",1,5.41
2014-04-15,18.25,18.75,18.25,18.5,"1,653,216",18.5,"1,156","30,519,074.00",0.25,1.37
2014-04-14,18.75,18.75,18.25,18.25,"1,309,910",18.25,"1,094","24,119,258.25",-0.5,-2.67
2014-04-13,18.5,19.25,18.5,18.75,"772,052",18.75,862,"14,556,484.25",0,0
2014-04-10,19.25,19.5,18.5,18.75,"945,894",18.75,"1,034","17,978,188.75",-0.75,-3.85
