Date,Open,High,Low,Close,Volume,Adj Close,Num_deals,Value,Change,Change_per
2014-06-19,26.5,27.4,26.3,27,"161,246",27,271,"4,333,502.80",1.5,5.88
2014-06-18,25,26.6,24.55,25.5,"118,483",25.5,243,"3,062,333.00",-1.6,-5.9
2014-06-17,29.4,29.4,27.1,27.1,"167,873",27.1,257,"4,619,391.20",-3,-9.97
2014-06-16,32,32,28.8,30.1,"395,126",30.1,544,"11,609,743.30",-1.9,-5.94
2014-06-15,34.6,34.6,32,32,"82,983",32,143,"2,783,003.50",-2.75,-7.91
2014-06-12,33.5,35,33.25,34.75,"145,863",34.75,220,"4,981,124.75",0.5,1.46
2014-06-11,35,35.25,34,34.25,"524,820",34.25,473,"18,254,110.50",-1,-2.84
2014-06-10,34.5,35.5,34.5,35.25,"705,278",35.25,633,"24,791,597.25",0.25,0.71
2014-06-09,34,35,32.25,35,"378,134",35,492,"12,723,770.50",0.25,0.72
2014-06-08,38.25,38.25,34.75,34.75,"387,065",34.75,456,"13,705,558.25",-3.75,-9.74
2014-06-05,39,39.25,38.5,38.5,"104,157",38.5,154,"4,052,579.50",-0.75,-1.91
2014-06-04,39.25,39.5,39,39.25,"147,033",39.25,177,"5,778,392.00",-0.5,-1.26
2014-06-03,39.5,39.75,39.25,39.75,"110,279",39.75,171,"4,354,028.25",0.25,0.63
2014-06-02,39.25,39.75,39,39.5,"191,013",39.5,275,"7,535,046.00",0,0
2014-06-01,39.5,40.5,39.25,39.5,"446,737",39.5,652,"17,774,029.25",0,0
2014-05-29,39.5,40.75,39,39.5,"1,067,212",39.5,"1,349","42,749,993.25",0,0
2014-05-28,39.25,40,39,39.5,"720,407",39.5,876,"28,408,576.25",0.5,1.28
2014-05-27,38.5,39.25,38.5,39,"248,184",39,372,"9,655,590.50",0.5,1.3
2014-05-26,39,39,38.5,38.5,"345,562",38.5,459,"13,385,005.25",-0.75,-1.91
2014-05-25,38.75,39.25,38.25,39.25,"555,212",39.25,669,"21,472,632.50",0.75,1.95
2014-05-22,38.25,38.75,38,38.5,"237,402",38.5,285,"9,108,215.25",-0.25,-0.65
2014-05-21,39,39.5,38.25,38.75,"501,438",38.75,504,"19,588,198.75",-0.5,-1.27
2014-05-20,39,39.25,38,39.25,"265,300",39.25,393,"10,186,408.25",0,0
2014-05-19,38.75,40,38.5,39.25,"606,706",39.25,630,"23,929,385.50",0.5,1.29
2014-05-18,37.25,39,37.25,38.75,"450,068",38.75,587,"17,105,320.75",1.75,4.73
2014-05-15,37.5,37.75,37,37,"210,839",37,289,"7,869,891.00",-0.5,-1.33
2014-05-14,37,37.5,36.5,37.5,"239,314",37.5,335,"8,863,336.25",0.5,1.35
2014-05-13,36,37.25,36,37,"184,801",37,359,"6,809,074.25",1,2.78
2014-05-12,37,37.5,35.5,36,"259,088",36,500,"9,465,824.00",-1.25,-3.36
2014-05-11,40,40,37.25,37.25,"484,126",37.25,739,"18,694,302.25",-2.75,-6.88
2014-05-08,40.25,40.5,39.75,40,"358,649",40,436,"14,404,572.75",-0.5,-1.23
2014-05-07,39.5,40.5,39,40.5,"487,405",40.5,647,"19,484,271.25",1,2.53
2014-05-06,42,42,39.5,39.5,"475,428",39.5,723,"19,481,337.00",-2.5,-5.95
