Date,Open,High,Low,Close,Volume,Adj Close,Num_deals,Value,Change,Change_per
2014-06-19,15.35,15.45,15,15.1,"9,280,022",15.1,"3,188","140,960,432.00",-0.45,-2.89
2014-06-18,15.15,15.55,15.1,15.55,"6,280,797",15.55,"2,096","96,138,216.95",0.15,0.97
2014-06-17,15.55,15.65,15.25,15.4,"7,821,062",15.4,"2,278","121,022,620.25",-0.3,-1.91
2014-06-16,15.6,15.85,15.55,15.7,"14,471,278",15.7,"3,475","227,583,821.35",0.25,1.62
2014-06-15,15.35,15.45,15.15,15.45,"11,466,524",15.45,"3,088","175,659,850.75",0.15,0.98
2014-06-12,15.15,15.45,15.15,15.3,"13,121,146",15.3,"3,253","200,750,640.45",0.25,1.66
2014-06-11,14.65,15.15,14.45,15.05,"17,491,932",15.05,"3,834","258,364,011.40",0.3,2.03
2014-06-10,15.1,15.35,14.65,14.75,"9,521,253",14.75,"2,861","143,495,929.95",-0.45,-2.96
2014-06-09,14.95,15.2,14.6,15.2,"12,723,840",15.2,"3,235","188,461,941.20",0.15,1
2014-06-08,15.65,15.8,15,15.05,"10,607,024",15.05,"3,574","163,738,371.60",-0.35,-2.27
2014-06-05,15.45,15.7,15.2,15.4,"12,706,001",15.4,"3,858","196,005,221.90",-0.05,-0.32
2014-06-04,15.1,16,15.05,15.45,"23,443,181",15.45,"6,898","365,661,456.25",0.55,3.69
2014-06-03,11.1,11.15,10.95,11.1,"4,391,155",11.1,"1,198","48,507,158.55",-0.15,-1.33
2014-06-02,11.6,11.6,11.2,11.25,"5,328,903",11.25,"1,613","60,581,981.00",-0.25,-2.17
2014-06-01,11.45,11.7,11.45,11.5,"10,259,578",11.5,"1,826","118,356,925.20",0.2,1.76
2014-05-29,11.4,11.5,11.3,11.3,"6,333,662",11.3,"1,342","72,058,208.95",-0.2,-1.73
2014-05-28,11.3,11.5,11.3,11.5,"4,650,740",11.5,"1,227","53,007,715.10",0.15,1.32
2014-05-27,11.3,11.4,11.2,11.35,"2,500,600",11.35,904,"28,277,076.45",0.05,0.44
2014-05-26,11.3,11.35,11.2,11.3,"3,338,271",11.3,"1,105","37,632,085.40",0,0
2014-05-25,11.25,11.65,11.25,11.3,"10,388,848",11.3,"1,987","118,956,282.15",0.4,3.66
2014-05-22,10.9,10.95,10.8,10.9,"2,326,897",10.9,786,"25,326,281.65",-0.15,-1.35
2014-05-21,11.1,11.15,11,11.05,"3,533,200",11.05,914,"39,165,605.85",-0.1,-0.89
2014-05-20,10.95,11.15,10.95,11.15,"6,728,058",11.15,"1,319","74,467,051.10",0.25,2.29
2014-05-19,11,11.05,10.9,10.9,"8,728,378",10.9,"1,852","95,871,168.80",-0.1,-0.9
2014-05-18,10.7,11.15,10.7,11,"14,391,216",11,"2,738","158,341,527.70",0.65,6.28
2014-05-15,10.45,10.45,10.35,10.35,"2,542,298",10.35,657,"26,431,505.10",-0.05,-0.48
2014-05-14,10.2,10.4,10.2,10.4,"4,563,869",10.4,952,"47,222,942.50",0.15,1.46
2014-05-13,10.45,10.45,10.2,10.25,"5,671,961",10.25,"1,426","58,827,787.90",-0.35,-3.3
